ancestry,age_group,sex,district,year,value
Immigrants of non-western origin,60+ years,Women,Amager Vest,2018,451.0
Immigrants of non-western origin,60+ years,Women,Amager Vest,2019,480.0
Immigrants of non-western origin,60+ years,Women,Amager Vest,2020,541.0
Immigrants of non-western origin,60+ years,Women,Amager Vest,2021,574.0
Immigrants of non-western origin,60+ years,Women,Amager Vest,2022,623.0
Immigrants of non-western origin,60+ years,Women,Amager Vest,2023,690.0
Immigrants of non-western origin,60+ years,Women,Amager Vest,2024,746.0
Immigrants of non-western origin,60+ years,Women,Amager Vest,2025,804.0
Immigrants of non-western origin,60+ years,Women,Amager Øst,1987,32.0
Immigrants of non-western origin,60+ years,Women,Amager Øst,1988,40.0
Immigrants of non-western origin,60+ years,Women,Amager Øst,1990,47.0
Immigrants of non-western origin,60+ years,Women,Amager Øst,1991,50.0
Immigrants of non-western origin,60+ years,Women,Amager Øst,1992,52.0
Immigrants of non-western origin,60+ years,Women,Amager Øst,1993,52.0
Immigrants of non-western origin,60+ years,Women,Amager Øst,1995,62.0
Immigrants of non-western origin,60+ years,Women,Amager Øst,1996,79.0
Immigrants of non-western origin,60+ years,Women,Amager Øst,1997,83.0
Immigrants of non-western origin,60+ years,Women,Amager Øst,1998,87.0
Immigrants of non-western origin,60+ years,Women,Amager Øst,1999,96.0
Immigrants of non-western origin,60+ years,Women,Amager Øst,2000,107.0
Immigrants of non-western origin,60+ years,Women,Amager Øst,2001,116.0
Immigrants of non-western origin,60+ years,Women,Amager Øst,2002,115.0
Immigrants of non-western origin,60+ years,Women,Amager Øst,2003,114.0
Immigrants of non-western origin,60+ years,Women,Amager Øst,2004,121.0
Immigrants of non-western origin,60+ years,Women,Amager Øst,2005,117.0
Immigrants of non-western origin,60+ years,Women,Amager Øst,2006,125.0
Immigrants of non-western origin,60+ years,Women,Amager Øst,2007,130.0
Immigrants of non-western origin,60+ years,Women,Amager Øst,2008,142.0
Immigrants of non-western origin,60+ years,Women,Amager Øst,2009,163.0
Immigrants of non-western origin,60+ years,Women,Amager Øst,2010,176.0
Immigrants of non-western origin,60+ years,Women,Amager Øst,2011,186.0
Immigrants of non-western origin,60+ years,Women,Amager Øst,2012,199.0
Immigrants of non-western origin,60+ years,Women,Amager Øst,2013,199.0
Immigrants of non-western origin,60+ years,Women,Amager Øst,2014,208.0
Immigrants of non-western origin,60+ years,Women,Amager Øst,2015,230.0
Immigrants of non-western origin,60+ years,Women,Amager Øst,2016,244.0
Immigrants of non-western origin,60+ years,Women,Amager Øst,2017,269.0
Immigrants of non-western origin,60+ years,Women,Amager Øst,2018,283.0
Immigrants of non-western origin,60+ years,Women,Amager Øst,2019,304.0
Immigrants of non-western origin,60+ years,Women,Amager Øst,2020,326.0
Immigrants of non-western origin,60+ years,Women,Amager Øst,2021,359.0
Immigrants of non-western origin,60+ years,Women,Amager Øst,2022,386.0
Immigrants of non-western origin,60+ years,Women,Amager Øst,2023,425.0
Immigrants of non-western origin,60+ years,Women,Amager Øst,2024,470.0
Immigrants of non-western origin,60+ years,Women,Amager Øst,2025,506.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,1986,54.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,1987,53.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,1988,55.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,1989,57.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,1990,58.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,1991,60.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,1992,65.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,1993,76.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,1994,74.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,1995,75.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,1996,83.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,1997,93.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,1998,113.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,1999,127.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,2000,137.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,2001,151.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,2002,165.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,2003,189.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,2004,204.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,2005,214.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,2006,228.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,2007,240.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,2008,247.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,2009,266.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,2010,290.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,2011,314.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,2012,341.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,2013,363.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,2014,386.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,2015,412.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,2016,456.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,2017,472.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,2018,484.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,2019,521.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,2020,553.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,2021,605.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,2022,628.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,2023,678.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,2024,765.0
Immigrants of non-western origin,60+ years,Women,Bispebjerg,2025,808.0
Immigrants of non-western origin,60+ years,Women,Brønshøj-Husum,1987,41.0
Immigrants of non-western origin,60+ years,Women,Brønshøj-Husum,1988,41.0
Immigrants of non-western origin,60+ years,Women,Brønshøj-Husum,1991,41.0
Immigrants of non-western origin,60+ years,Women,Brønshøj-Husum,1992,42.0
Immigrants of non-western origin,60+ years,Women,Brønshøj-Husum,1993,51.0
Immigrants of non-western origin,60+ years,Women,Brønshøj-Husum,1994,49.0
Immigrants of non-western origin,60+ years,Women,Brønshøj-Husum,1995,54.0
Immigrants of non-western origin,60+ years,Women,Brønshøj-Husum,1996,56.0
Immigrants of non-western origin,60+ years,Women,Brønshøj-Husum,1997,67.0
Immigrants of non-western origin,60+ years,Women,Brønshøj-Husum,1998,73.0
Immigrants of non-western origin,60+ years,Women,Brønshøj-Husum,1999,83.0
Immigrants of non-western origin,60+ years,Women,Brønshøj-Husum,2000,93.0
Immigrants of non-western origin,60+ years,Women,Brønshøj-Husum,2001,103.0
Immigrants of non-western origin,60+ years,Women,Brønshøj-Husum,2002,113.0
Immigrants of non-western origin,60+ years,Women,Brønshøj-Husum,2003,119.0
Immigrants of non-western origin,60+ years,Women,Brønshøj-Husum,2004,128.0
Immigrants of non-western origin,60+ years,Women,Brønshøj-Husum,2005,149.0
Immigrants of non-western origin,60+ years,Women,Brønshøj-Husum,2006,169.0
Immigrants of non-western origin,60+ years,Women,Brønshøj-Husum,2007,183.0
Immigrants of non-western origin,60+ years,Women,Brønshøj-Husum,2008,204.0
Immigrants of non-western origin,60+ years,Women,Brønshøj-Husum,2009,215.0
Immigrants of non-western origin,60+ years,Women,Brønshøj-Husum,2010,225.0
Immigrants of non-western origin,60+ years,Women,Brønshøj-Husum,2011,249.0
Immigrants of non-western origin,60+ years,Women,Brønshøj-Husum,2012,271.0
Immigrants of non-western origin,60+ years,Women,Brønshøj-Husum,2013,288.0
Immigrants of non-western origin,60+ years,Women,Brønshøj-Husum,2014,315.0
Immigrants of non-western origin,60+ years,Women,Brønshøj-Husum,2015,342.0
Immigrants of non-western origin,60+ years,Women,Brønshøj-Husum,2016,361.0
Immigrants of non-western origin,60+ years,Women,Brønshøj-Husum,2017,389.0
Immigrants of non-western origin,60+ years,Women,Brønshøj-Husum,2018,425.0
Immigrants of non-western origin,60+ years,Women,Brønshøj-Husum,2019,441.0
Immigrants of non-western origin,60+ years,Women,Brønshøj-Husum,2020,480.0
Immigrants of non-western origin,60+ years,Women,Brønshøj-Husum,2021,525.0
Immigrants of non-western origin,60+ years,Women,Brønshøj-Husum,2022,561.0
Immigrants of non-western origin,60+ years,Women,Brønshøj-Husum,2023,602.0
Immigrants of non-western origin,60+ years,Women,Brønshøj-Husum,2024,644.0
Immigrants of non-western origin,60+ years,Women,Brønshøj-Husum,2025,691.0
Immigrants of non-western origin,60+ years,Women,Indre By,1986,69.0
Immigrants of non-western origin,60+ years,Women,Indre By,1987,71.0
Immigrants of non-western origin,60+ years,Women,Indre By,1988,65.0
Immigrants of non-western origin,60+ years,Women,Indre By,1989,65.0
Immigrants of non-western origin,60+ years,Women,Indre By,1990,66.0
Immigrants of non-western origin,60+ years,Women,Indre By,1991,65.0
Immigrants of non-western origin,60+ years,Women,Indre By,1992,66.0
Immigrants of non-western origin,60+ years,Women,Indre By,1993,66.0
Immigrants of non-western origin,60+ years,Women,Indre By,1994,67.0
Immigrants of non-western origin,60+ years,Women,Indre By,1995,64.0
Immigrants of non-western origin,60+ years,Women,Indre By,1996,61.0
Immigrants of non-western origin,60+ years,Women,Indre By,1997,58.0
Immigrants of non-western origin,60+ years,Women,Indre By,1998,59.0
Immigrants of non-western origin,60+ years,Women,Indre By,1999,72.0
Immigrants of non-western origin,60+ years,Women,Indre By,2000,72.0
Immigrants of non-western origin,60+ years,Women,Indre By,2001,73.0
Immigrants of non-western origin,60+ years,Women,Indre By,2002,74.0
Immigrants of non-western origin,60+ years,Women,Indre By,2005,81.0
Immigrants of non-western origin,60+ years,Women,Indre By,2010,95.0
Immigrants of non-western origin,60+ years,Women,Indre By,2011,102.0
Immigrants of non-western origin,60+ years,Women,Indre By,2012,106.0
Immigrants of non-western origin,60+ years,Women,Indre By,2013,110.0
Immigrants of non-western origin,60+ years,Women,Indre By,2014,116.0
Immigrants of non-western origin,60+ years,Women,Indre By,2015,130.0
Immigrants of non-western origin,60+ years,Women,Indre By,2016,137.0
Immigrants of non-western origin,60+ years,Women,Indre By,2017,150.0
Immigrants of non-western origin,60+ years,Women,Indre By,2018,156.0
Immigrants of non-western origin,60+ years,Women,Indre By,2019,169.0
Immigrants of non-western origin,60+ years,Women,Indre By,2020,175.0
Immigrants of non-western origin,60+ years,Women,Indre By,2021,183.0
Immigrants of non-western origin,60+ years,Women,Indre By,2022,189.0
Immigrants of non-western origin,60+ years,Women,Indre By,2023,225.0
Immigrants of non-western origin,60+ years,Women,Indre By,2024,227.0
Immigrants of non-western origin,60+ years,Women,Indre By,2025,255.0
Immigrants of non-western origin,60+ years,Women,Nørrebro,1986,62.0
Immigrants of non-western origin,60+ years,Women,Nørrebro,1987,75.0
Immigrants of non-western origin,60+ years,Women,Nørrebro,1988,83.0
Immigrants of non-western origin,60+ years,Women,Nørrebro,1989,85.0
Immigrants of non-western origin,60+ years,Women,Nørrebro,1991,112.0
Immigrants of non-western origin,60+ years,Women,Nørrebro,1992,127.0
Immigrants of non-western origin,60+ years,Women,Nørrebro,1993,150.0
Immigrants of non-western origin,60+ years,Women,Nørrebro,1994,187.0
Immigrants of non-western origin,60+ years,Women,Nørrebro,1995,207.0
Immigrants of non-western origin,60+ years,Women,Nørrebro,1996,221.0
Immigrants of non-western origin,60+ years,Women,Nørrebro,1997,242.0
Immigrants of non-western origin,60+ years,Women,Nørrebro,1998,264.0
Immigrants of non-western origin,60+ years,Women,Nørrebro,1999,289.0
Immigrants of non-western origin,60+ years,Women,Nørrebro,2000,305.0
Immigrants of non-western origin,60+ years,Women,Nørrebro,2001,343.0
Immigrants of non-western origin,60+ years,Women,Nørrebro,2002,366.0
Immigrants of non-western origin,60+ years,Women,Nørrebro,2003,387.0
Immigrants of non-western origin,60+ years,Women,Nørrebro,2004,405.0
Immigrants of non-western origin,60+ years,Women,Nørrebro,2005,411.0
Immigrants of non-western origin,60+ years,Women,Nørrebro,2006,430.0
Immigrants of non-western origin,60+ years,Women,Nørrebro,2007,457.0
Immigrants of non-western origin,60+ years,Women,Nørrebro,2008,462.0
Immigrants of non-western origin,60+ years,Women,Nørrebro,2009,495.0
Immigrants of non-western origin,60+ years,Women,Nørrebro,2010,526.0
Immigrants of non-western origin,60+ years,Women,Nørrebro,2011,561.0
Immigrants of non-western origin,60+ years,Women,Nørrebro,2012,567.0
Immigrants of non-western origin,60+ years,Women,Nørrebro,2013,579.0
Immigrants of non-western origin,60+ years,Women,Nørrebro,2014,612.0
Immigrants of non-western origin,60+ years,Women,Nørrebro,2015,639.0
Immigrants of non-western origin,60+ years,Women,Nørrebro,2016,679.0
Immigrants of non-western origin,60+ years,Women,Nørrebro,2017,720.0
Immigrants of non-western origin,60+ years,Women,Nørrebro,2018,744.0
Immigrants of non-western origin,60+ years,Women,Nørrebro,2019,809.0
Immigrants of non-western origin,60+ years,Women,Nørrebro,2020,831.0
Immigrants of non-western origin,60+ years,Women,Nørrebro,2021,860.0
Immigrants of non-western origin,60+ years,Women,Nørrebro,2022,887.0
Immigrants of non-western origin,60+ years,Women,Nørrebro,2023,943.0
Immigrants of non-western origin,60+ years,Women,Nørrebro,2024,1033.0
Immigrants of non-western origin,60+ years,Women,Nørrebro,2025,1126.0
Immigrants of non-western origin,60+ years,Women,Valby,1986,37.0
Immigrants of non-western origin,60+ years,Women,Valby,1997,74.0
Immigrants of non-western origin,60+ years,Women,Valby,2002,119.0
Immigrants of non-western origin,60+ years,Women,Valby,2003,124.0
Immigrants of non-western origin,60+ years,Women,Valby,2004,128.0
Immigrants of non-western origin,60+ years,Women,Valby,2005,133.0
Immigrants of non-western origin,60+ years,Women,Valby,2006,152.0
Immigrants of non-western origin,60+ years,Women,Valby,2007,161.0
Immigrants of non-western origin,60+ years,Women,Valby,2008,170.0
Immigrants of non-western origin,60+ years,Women,Valby,2009,192.0
Immigrants of non-western origin,60+ years,Women,Valby,2010,207.0
Immigrants of non-western origin,60+ years,Women,Valby,2011,219.0
Immigrants of non-western origin,60+ years,Women,Valby,2012,227.0
Immigrants of non-western origin,60+ years,Women,Valby,2013,239.0
Immigrants of non-western origin,60+ years,Women,Valby,2014,253.0
Immigrants of non-western origin,60+ years,Women,Valby,2015,272.0
Immigrants of non-western origin,60+ years,Women,Valby,2016,309.0
Immigrants of non-western origin,60+ years,Women,Valby,2017,326.0
Immigrants of non-western origin,60+ years,Women,Valby,2018,356.0
Immigrants of non-western origin,60+ years,Women,Valby,2019,376.0
Immigrants of non-western origin,60+ years,Women,Valby,2020,408.0
Immigrants of non-western origin,60+ years,Women,Valby,2021,454.0
Immigrants of non-western origin,60+ years,Women,Valby,2022,501.0
Immigrants of non-western origin,60+ years,Women,Valby,2023,649.0
Immigrants of non-western origin,60+ years,Women,Valby,2024,666.0
Immigrants of non-western origin,60+ years,Women,Valby,2025,680.0
Immigrants of non-western origin,60+ years,Women,Vanløse,1986,28.0
Immigrants of non-western origin,60+ years,Women,Vanløse,1988,28.0
Immigrants of non-western origin,60+ years,Women,Vanløse,1997,39.0
Immigrants of non-western origin,60+ years,Women,Vanløse,2005,63.0
Immigrants of non-western origin,60+ years,Women,Vanløse,2010,87.0
Immigrants of non-western origin,60+ years,Women,Vanløse,2011,94.0
Immigrants of non-western origin,60+ years,Women,Vanløse,2012,93.0
Immigrants of non-western origin,60+ years,Women,Vanløse,2013,101.0
Immigrants of non-western origin,60+ years,Women,Vanløse,2014,107.0
Immigrants of non-western origin,60+ years,Women,Vanløse,2015,122.0
Immigrants of non-western origin,60+ years,Women,Vanløse,2016,138.0
Immigrants of non-western origin,60+ years,Women,Vanløse,2017,149.0
Immigrants of non-western origin,60+ years,Women,Vanløse,2018,163.0
Immigrants of non-western origin,60+ years,Women,Vanløse,2019,182.0
Immigrants of non-western origin,60+ years,Women,Vanløse,2020,188.0
Immigrants of non-western origin,60+ years,Women,Vanløse,2021,199.0
Immigrants of non-western origin,60+ years,Women,Vanløse,2022,212.0
Immigrants of non-western origin,60+ years,Women,Vanløse,2023,229.0
Immigrants of non-western origin,60+ years,Women,Vanløse,2024,255.0
Immigrants of non-western origin,60+ years,Women,Vanløse,2025,265.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,1986,39.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,1987,42.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,1988,48.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,1989,52.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,1990,66.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,1991,65.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,1992,85.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,1993,96.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,1994,100.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,1995,96.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,1996,103.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,1997,113.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,1998,123.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,1999,137.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,2000,150.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,2001,163.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,2002,173.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,2003,190.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,2004,211.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,2005,217.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,2006,224.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,2007,250.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,2008,270.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,2009,292.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,2010,311.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,2011,334.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,2012,335.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,2013,357.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,2014,365.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,2015,381.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,2016,406.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,2017,430.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,2018,465.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,2019,499.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,2020,524.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,2021,572.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,2022,600.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,2023,641.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,2024,692.0
Immigrants of non-western origin,60+ years,Women,Vesterbro/Kongens Enghave,2025,739.0
Immigrants of non-western origin,60+ years,Women,Østerbro,1986,88.0
Immigrants of non-western origin,60+ years,Women,Østerbro,1987,88.0
Immigrants of non-western origin,60+ years,Women,Østerbro,1988,92.0
Immigrants of non-western origin,60+ years,Women,Østerbro,1989,90.0
Immigrants of non-western origin,60+ years,Women,Østerbro,1990,82.0
Immigrants of non-western origin,60+ years,Women,Østerbro,1991,84.0
Immigrants of non-western origin,60+ years,Women,Østerbro,1992,86.0
Immigrants of non-western origin,60+ years,Women,Østerbro,1993,83.0
Immigrants of non-western origin,60+ years,Women,Østerbro,1994,92.0
Immigrants of non-western origin,60+ years,Women,Østerbro,1995,102.0
Immigrants of non-western origin,60+ years,Women,Østerbro,1996,124.0
Immigrants of non-western origin,60+ years,Women,Østerbro,1997,120.0
Immigrants of non-western origin,60+ years,Women,Østerbro,1998,123.0
Immigrants of non-western origin,60+ years,Women,Østerbro,1999,119.0
Immigrants of non-western origin,60+ years,Women,Østerbro,2000,127.0
Immigrants of non-western origin,60+ years,Women,Østerbro,2001,129.0
Immigrants of non-western origin,60+ years,Women,Østerbro,2002,138.0
Immigrants of non-western origin,60+ years,Women,Østerbro,2003,147.0
Immigrants of non-western origin,60+ years,Women,Østerbro,2004,154.0
Immigrants of non-western origin,60+ years,Women,Østerbro,2005,163.0
Immigrants of non-western origin,60+ years,Women,Østerbro,2006,172.0
Immigrants of non-western origin,60+ years,Women,Østerbro,2007,178.0
Immigrants of non-western origin,60+ years,Women,Østerbro,2008,186.0
Immigrants of non-western origin,60+ years,Women,Østerbro,2009,198.0
Immigrants of non-western origin,60+ years,Women,Østerbro,2010,197.0
Immigrants of non-western origin,60+ years,Women,Østerbro,2011,210.0
Immigrants of non-western origin,60+ years,Women,Østerbro,2012,218.0
Immigrants of non-western origin,60+ years,Women,Østerbro,2013,237.0
Immigrants of non-western origin,60+ years,Women,Østerbro,2014,247.0
Immigrants of non-western origin,60+ years,Women,Østerbro,2015,258.0
Immigrants of non-western origin,60+ years,Women,Østerbro,2016,286.0
Immigrants of non-western origin,60+ years,Women,Østerbro,2017,310.0
Immigrants of non-western origin,60+ years,Women,Østerbro,2018,327.0
Immigrants of non-western origin,60+ years,Women,Østerbro,2019,340.0
Immigrants of non-western origin,60+ years,Women,Østerbro,2020,380.0
Immigrants of non-western origin,60+ years,Women,Østerbro,2021,411.0
Immigrants of non-western origin,60+ years,Women,Østerbro,2022,460.0
Immigrants of non-western origin,60+ years,Women,Østerbro,2023,499.0
Immigrants of non-western origin,60+ years,Women,Østerbro,2024,532.0
Immigrants of non-western origin,60+ years,Women,Østerbro,2025,564.0
Immigrants of western origin,0-10 years,Men,Amager Vest,1989,8.0
Immigrants of western origin,0-10 years,Men,Amager Vest,1992,7.0
Immigrants of western origin,0-10 years,Men,Amager Vest,1993,4.0
Immigrants of western origin,0-10 years,Men,Amager Vest,1994,7.0
Immigrants of western origin,0-10 years,Men,Amager Vest,1995,11.0
Immigrants of western origin,0-10 years,Men,Amager Vest,1996,12.0
Immigrants of western origin,0-10 years,Men,Amager Vest,1997,10.0
Immigrants of western origin,0-10 years,Men,Amager Vest,1998,9.0
Immigrants of western origin,0-10 years,Men,Amager Vest,1999,8.0
Immigrants of western origin,0-10 years,Men,Amager Vest,2003,11.0
Immigrants of western origin,0-10 years,Men,Amager Vest,2004,11.0
Immigrants of western origin,0-10 years,Men,Amager Vest,2005,20.0
Immigrants of western origin,0-10 years,Men,Amager Vest,2006,22.0
Immigrants of western origin,0-10 years,Men,Amager Vest,2007,20.0
Immigrants of western origin,0-10 years,Men,Amager Vest,2008,32.0
Immigrants of western origin,0-10 years,Men,Amager Vest,2009,45.0
Immigrants of western origin,0-10 years,Men,Amager Vest,2010,35.0
Immigrants of western origin,0-10 years,Men,Amager Vest,2011,42.0
Immigrants of western origin,0-10 years,Men,Amager Vest,2012,31.0
Immigrants of western origin,0-10 years,Men,Amager Vest,2013,33.0
Immigrants of western origin,0-10 years,Men,Amager Vest,2014,41.0
Immigrants of western origin,0-10 years,Men,Amager Vest,2015,42.0
Immigrants of western origin,0-10 years,Men,Amager Vest,2016,39.0
Immigrants of western origin,0-10 years,Men,Amager Vest,2017,36.0
Immigrants of western origin,0-10 years,Men,Amager Vest,2018,41.0
Immigrants of western origin,0-10 years,Men,Amager Vest,2019,51.0
Immigrants of western origin,0-10 years,Men,Amager Vest,2020,63.0
Immigrants of western origin,0-10 years,Men,Amager Vest,2021,83.0
Immigrants of western origin,0-10 years,Men,Amager Vest,2022,89.0
Immigrants of western origin,0-10 years,Men,Amager Vest,2023,99.0
Immigrants of western origin,0-10 years,Men,Amager Vest,2024,95.0
Immigrants of western origin,0-10 years,Men,Amager Vest,2025,94.0
Immigrants of western origin,0-10 years,Men,Amager Øst,1986,28.0
Immigrants of western origin,0-10 years,Men,Amager Øst,1987,27.0
Immigrants of western origin,0-10 years,Men,Amager Øst,1988,17.0
Immigrants of western origin,0-10 years,Men,Amager Øst,1989,9.0
Immigrants of western origin,0-10 years,Men,Amager Øst,1991,15.0
Immigrants of western origin,0-10 years,Men,Amager Øst,1992,17.0
Immigrants of western origin,0-10 years,Men,Amager Øst,1993,16.0
Immigrants of western origin,0-10 years,Men,Amager Øst,1994,16.0
Immigrants of western origin,0-10 years,Men,Amager Øst,1995,24.0
Immigrants of western origin,0-10 years,Men,Amager Øst,1996,29.0
Immigrants of western origin,0-10 years,Men,Amager Øst,1997,24.0
Immigrants of western origin,0-10 years,Men,Amager Øst,1998,24.0
Immigrants of western origin,0-10 years,Men,Amager Øst,1999,19.0
Immigrants of western origin,0-10 years,Men,Amager Øst,2000,18.0
Immigrants of western origin,0-10 years,Men,Amager Øst,2001,24.0
Immigrants of western origin,0-10 years,Men,Amager Øst,2002,20.0
Immigrants of western origin,0-10 years,Men,Amager Øst,2003,28.0
Immigrants of western origin,0-10 years,Men,Amager Øst,2004,24.0
Immigrants of western origin,0-10 years,Men,Amager Øst,2005,25.0
Immigrants of western origin,0-10 years,Men,Amager Øst,2006,24.0
Immigrants of western origin,0-10 years,Men,Amager Øst,2007,23.0
Immigrants of western origin,0-10 years,Men,Amager Øst,2008,22.0
Immigrants of western origin,0-10 years,Men,Amager Øst,2009,23.0
Immigrants of western origin,0-10 years,Men,Amager Øst,2010,26.0
Immigrants of western origin,0-10 years,Men,Amager Øst,2011,28.0
Immigrants of western origin,0-10 years,Men,Amager Øst,2012,28.0
Immigrants of western origin,0-10 years,Men,Amager Øst,2013,20.0
Immigrants of western origin,0-10 years,Men,Amager Øst,2014,13.0
Immigrants of western origin,0-10 years,Men,Amager Øst,2015,27.0
Immigrants of western origin,0-10 years,Men,Amager Øst,2016,27.0
Immigrants of western origin,0-10 years,Men,Amager Øst,2017,32.0
Immigrants of western origin,0-10 years,Men,Amager Øst,2018,38.0
Immigrants of western origin,0-10 years,Men,Amager Øst,2019,38.0
Immigrants of western origin,0-10 years,Men,Amager Øst,2020,36.0
Immigrants of western origin,0-10 years,Men,Amager Øst,2021,35.0
Immigrants of western origin,0-10 years,Men,Amager Øst,2022,36.0
Immigrants of western origin,0-10 years,Men,Amager Øst,2023,33.0
Immigrants of western origin,0-10 years,Men,Amager Øst,2024,34.0
Immigrants of western origin,0-10 years,Men,Amager Øst,2025,32.0
Immigrants of western origin,0-10 years,Men,Bispebjerg,1989,6.0
Immigrants of western origin,0-10 years,Men,Bispebjerg,1990,4.0
Immigrants of western origin,0-10 years,Men,Bispebjerg,1991,6.0
Immigrants of western origin,0-10 years,Men,Bispebjerg,1993,4.0
Immigrants of western origin,0-10 years,Men,Bispebjerg,1995,5.0
Immigrants of western origin,0-10 years,Men,Bispebjerg,1996,5.0
Immigrants of western origin,0-10 years,Men,Bispebjerg,1997,9.0
Immigrants of western origin,0-10 years,Men,Bispebjerg,1998,8.0
Immigrants of western origin,0-10 years,Men,Bispebjerg,1999,6.0
Immigrants of western origin,0-10 years,Men,Bispebjerg,2000,8.0
Immigrants of western origin,0-10 years,Men,Bispebjerg,2001,6.0
