education,unemployment_degree,district,year,value
Upper secondary education and qualifying educational programs,"]0,8-1]",Indre By,2021,42.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Indre By,2022,15.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Indre By,2023,20.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Nørrebro,2008,65.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Nørrebro,2009,90.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Nørrebro,2010,165.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Nørrebro,2011,158.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Nørrebro,2012,146.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Nørrebro,2013,156.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Nørrebro,2014,120.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Nørrebro,2015,86.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Nørrebro,2016,79.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Nørrebro,2017,61.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Nørrebro,2018,50.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Nørrebro,2019,39.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Nørrebro,2020,83.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Nørrebro,2021,74.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Nørrebro,2022,32.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Nørrebro,2023,32.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Valby,2008,31.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Valby,2009,58.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Valby,2010,79.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Valby,2011,75.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Valby,2012,71.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Valby,2013,58.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Valby,2014,43.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Valby,2015,32.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Valby,2016,37.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Valby,2017,42.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Valby,2018,26.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Valby,2019,39.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Valby,2020,64.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Valby,2021,49.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Valby,2022,30.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Valby,2023,25.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Vanløse,2008,17.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Vanløse,2009,26.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Vanløse,2010,36.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Vanløse,2011,44.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Vanløse,2012,53.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Vanløse,2013,48.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Vanløse,2014,39.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Vanløse,2015,19.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Vanløse,2016,22.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Vanløse,2017,13.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Vanløse,2018,21.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Vanløse,2019,15.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Vanløse,2020,35.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Vanløse,2021,24.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Vanløse,2022,14.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Vanløse,2023,19.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Vesterbro/Kongens Enghave,2008,45.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Vesterbro/Kongens Enghave,2009,89.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Vesterbro/Kongens Enghave,2010,99.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Vesterbro/Kongens Enghave,2011,106.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Vesterbro/Kongens Enghave,2012,121.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Vesterbro/Kongens Enghave,2013,97.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Vesterbro/Kongens Enghave,2014,67.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Vesterbro/Kongens Enghave,2015,74.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Vesterbro/Kongens Enghave,2016,47.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Vesterbro/Kongens Enghave,2017,39.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Vesterbro/Kongens Enghave,2018,29.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Vesterbro/Kongens Enghave,2019,36.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Vesterbro/Kongens Enghave,2020,65.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Vesterbro/Kongens Enghave,2021,59.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Vesterbro/Kongens Enghave,2022,38.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Vesterbro/Kongens Enghave,2023,33.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Østerbro,2008,46.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Østerbro,2009,58.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Østerbro,2010,74.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Østerbro,2011,97.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Østerbro,2012,108.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Østerbro,2013,94.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Østerbro,2014,68.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Østerbro,2015,52.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Østerbro,2016,46.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Østerbro,2017,31.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Østerbro,2018,34.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Østerbro,2019,44.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Østerbro,2020,68.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Østerbro,2021,43.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Østerbro,2022,27.0
Upper secondary education and qualifying educational programs,"]0,8-1]",Østerbro,2023,22.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Amager Vest,2008,484.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Amager Vest,2009,516.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Amager Vest,2010,494.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Amager Vest,2011,494.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Amager Vest,2012,529.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Amager Vest,2013,588.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Amager Vest,2014,505.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Amager Vest,2015,520.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Amager Vest,2016,486.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Amager Vest,2017,537.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Amager Vest,2018,476.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Amager Vest,2019,464.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Amager Vest,2020,545.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Amager Vest,2021,506.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Amager Vest,2022,522.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Amager Vest,2023,453.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Amager Øst,2008,515.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Amager Øst,2009,478.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Amager Øst,2010,574.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Amager Øst,2011,552.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Amager Øst,2012,575.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Amager Øst,2013,592.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Amager Øst,2014,564.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Amager Øst,2015,533.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Amager Øst,2016,527.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Amager Øst,2017,520.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Amager Øst,2018,448.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Amager Øst,2019,413.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Amager Øst,2020,492.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Amager Øst,2021,424.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Amager Øst,2022,455.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Amager Øst,2023,404.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Bispebjerg,2008,471.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Bispebjerg,2009,508.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Bispebjerg,2010,493.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Bispebjerg,2011,540.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Bispebjerg,2012,506.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Bispebjerg,2013,530.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Bispebjerg,2014,542.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Bispebjerg,2015,538.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Bispebjerg,2016,535.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Bispebjerg,2017,484.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Bispebjerg,2018,438.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Bispebjerg,2019,380.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Bispebjerg,2020,425.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Bispebjerg,2021,376.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Bispebjerg,2022,402.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Bispebjerg,2023,379.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Brønshøj-Husum,2008,328.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Brønshøj-Husum,2009,323.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Brønshøj-Husum,2010,305.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Brønshøj-Husum,2011,332.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Brønshøj-Husum,2012,350.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Brønshøj-Husum,2013,395.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Brønshøj-Husum,2014,331.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Brønshøj-Husum,2015,373.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Brønshøj-Husum,2016,363.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Brønshøj-Husum,2017,388.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Brønshøj-Husum,2018,293.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Brønshøj-Husum,2019,271.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Brønshøj-Husum,2020,310.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Brønshøj-Husum,2021,237.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Brønshøj-Husum,2022,257.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Brønshøj-Husum,2023,246.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Indre By,2008,209.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Indre By,2009,219.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Indre By,2010,219.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Indre By,2011,259.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Indre By,2012,218.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Indre By,2013,235.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Indre By,2014,201.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Indre By,2015,219.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Indre By,2016,231.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Indre By,2017,244.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Indre By,2018,200.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Indre By,2019,190.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Indre By,2020,193.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Indre By,2021,183.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Indre By,2022,169.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Indre By,2023,153.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Nørrebro,2008,626.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Nørrebro,2009,563.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Nørrebro,2010,536.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Nørrebro,2011,538.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Nørrebro,2012,581.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Nørrebro,2013,592.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Nørrebro,2014,526.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Nørrebro,2015,576.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Nørrebro,2016,560.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Nørrebro,2017,504.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Nørrebro,2018,481.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Nørrebro,2019,396.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Nørrebro,2020,410.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Nørrebro,2021,385.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Nørrebro,2022,407.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Nørrebro,2023,438.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Valby,2008,428.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Valby,2009,495.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Valby,2010,459.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Valby,2011,468.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Valby,2012,526.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Valby,2013,552.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Valby,2014,561.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Valby,2015,510.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Valby,2016,472.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Valby,2017,514.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Valby,2018,436.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Valby,2019,449.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Valby,2020,460.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Valby,2021,412.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Valby,2022,477.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Valby,2023,472.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Vanløse,2008,265.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Vanløse,2009,342.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Vanløse,2010,318.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Vanløse,2011,330.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Vanløse,2012,330.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Vanløse,2013,358.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Vanløse,2014,333.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Vanløse,2015,338.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Vanløse,2016,321.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Vanløse,2017,327.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Vanløse,2018,295.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Vanløse,2019,298.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Vanløse,2020,281.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Vanløse,2021,228.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Vanløse,2022,255.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Vanløse,2023,204.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Vesterbro/Kongens Enghave,2008,487.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Vesterbro/Kongens Enghave,2009,512.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Vesterbro/Kongens Enghave,2010,543.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Vesterbro/Kongens Enghave,2011,535.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Vesterbro/Kongens Enghave,2012,522.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Vesterbro/Kongens Enghave,2013,533.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Vesterbro/Kongens Enghave,2014,498.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Vesterbro/Kongens Enghave,2015,529.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Vesterbro/Kongens Enghave,2016,480.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Vesterbro/Kongens Enghave,2017,501.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Vesterbro/Kongens Enghave,2018,432.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Vesterbro/Kongens Enghave,2019,368.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Vesterbro/Kongens Enghave,2020,469.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Vesterbro/Kongens Enghave,2021,372.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Vesterbro/Kongens Enghave,2022,429.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Vesterbro/Kongens Enghave,2023,422.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Østerbro,2008,421.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Østerbro,2009,454.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Østerbro,2010,440.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Østerbro,2011,436.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Østerbro,2012,434.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Østerbro,2013,418.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Østerbro,2014,444.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Østerbro,2015,458.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Østerbro,2016,435.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Østerbro,2017,437.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Østerbro,2018,365.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Østerbro,2019,340.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Østerbro,2020,321.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Østerbro,2021,300.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Østerbro,2022,335.0
Vocational Education and Training (VET) and short cycle higher educations,"[0-0,2]",Østerbro,2023,319.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Amager Vest,2008,247.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Amager Vest,2009,344.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Amager Vest,2010,343.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Amager Vest,2011,382.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Amager Vest,2012,376.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Amager Vest,2013,368.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Amager Vest,2014,315.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Amager Vest,2015,325.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Amager Vest,2016,295.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Amager Vest,2017,302.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Amager Vest,2018,307.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Amager Vest,2019,289.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Amager Vest,2020,331.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Amager Vest,2021,341.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Amager Vest,2022,290.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Amager Vest,2023,260.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Amager Øst,2008,209.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Amager Øst,2009,325.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Amager Øst,2010,373.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Amager Øst,2011,380.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Amager Øst,2012,388.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Amager Øst,2013,377.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Amager Øst,2014,343.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Amager Øst,2015,350.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Amager Øst,2016,298.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Amager Øst,2017,278.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Amager Øst,2018,270.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Amager Øst,2019,241.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Amager Øst,2020,299.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Amager Øst,2021,285.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Amager Øst,2022,228.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Amager Øst,2023,226.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Bispebjerg,2008,266.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Bispebjerg,2009,317.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Bispebjerg,2010,328.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Bispebjerg,2011,380.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Bispebjerg,2012,393.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Bispebjerg,2013,380.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Bispebjerg,2014,346.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Bispebjerg,2015,315.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Bispebjerg,2016,298.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Bispebjerg,2017,283.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Bispebjerg,2018,259.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Bispebjerg,2019,270.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Bispebjerg,2020,278.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Bispebjerg,2021,242.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Bispebjerg,2022,247.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Bispebjerg,2023,190.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Brønshøj-Husum,2008,154.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Brønshøj-Husum,2009,219.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Brønshøj-Husum,2010,237.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Brønshøj-Husum,2011,248.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Brønshøj-Husum,2012,237.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Brønshøj-Husum,2013,256.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Brønshøj-Husum,2014,241.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Brønshøj-Husum,2015,240.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Brønshøj-Husum,2016,210.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Brønshøj-Husum,2017,176.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Brønshøj-Husum,2018,226.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Brønshøj-Husum,2019,184.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Brønshøj-Husum,2020,186.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Brønshøj-Husum,2021,147.0
Vocational Education and Training (VET) and short cycle higher educations,"]0,2-0,4]",Brønshøj-Husum,2022,148.0
