household_size,children_in_household,household_type,district,quarter,value
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2022Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2022Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2022Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2023Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2023Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2023Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2023Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2024Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2024Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2024Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Amager Øst,2024Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,1998Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,1999Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2000Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2001Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2002Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2002Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2002Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2002Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2003Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2003Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2003Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2003Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2004Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2004Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2004Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2004Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2005Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2005Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2005Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2005Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2006Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2006Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2006Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2006Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2007Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2007Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2007Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2007Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2008Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2008Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2008Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2008Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2009Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2009Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2009Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2009Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2010Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2010Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2010Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2010Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2011Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2011Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2011Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2011Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2012Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2012Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2012Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2012Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2013Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2013Q2,0.0
