income_type,sex,unit,district,year,value
Disposable income,Men,"Amount of income (DKK 1,000)",Nørrebro,1997,2988242.0
Disposable income,Men,"Amount of income (DKK 1,000)",Nørrebro,1998,3197830.0
Disposable income,Men,"Amount of income (DKK 1,000)",Nørrebro,1999,3367554.0
Disposable income,Men,"Amount of income (DKK 1,000)",Nørrebro,2000,3541310.0
Disposable income,Men,"Amount of income (DKK 1,000)",Nørrebro,2001,3675163.0
Disposable income,Men,"Amount of income (DKK 1,000)",Nørrebro,2002,3781359.0
Disposable income,Men,"Amount of income (DKK 1,000)",Nørrebro,2003,3840356.0
Disposable income,Men,"Amount of income (DKK 1,000)",Nørrebro,2004,3999840.0
Disposable income,Men,"Amount of income (DKK 1,000)",Nørrebro,2005,4035392.0
Disposable income,Men,"Amount of income (DKK 1,000)",Nørrebro,2006,4218470.0
Disposable income,Men,"Amount of income (DKK 1,000)",Nørrebro,2007,4325156.0
Disposable income,Men,"Amount of income (DKK 1,000)",Nørrebro,2008,4383397.0
Disposable income,Men,"Amount of income (DKK 1,000)",Nørrebro,2009,4559927.0
Disposable income,Men,"Amount of income (DKK 1,000)",Nørrebro,2010,4868970.0
Disposable income,Men,"Amount of income (DKK 1,000)",Nørrebro,2011,5041483.0
Disposable income,Men,"Amount of income (DKK 1,000)",Nørrebro,2012,5202580.0
Disposable income,Men,"Amount of income (DKK 1,000)",Nørrebro,2013,5416223.0
Disposable income,Men,"Amount of income (DKK 1,000)",Nørrebro,2014,5630576.0
Disposable income,Men,"Amount of income (DKK 1,000)",Nørrebro,2015,5886987.0
Disposable income,Men,"Amount of income (DKK 1,000)",Nørrebro,2016,6019052.0
Disposable income,Men,"Amount of income (DKK 1,000)",Nørrebro,2017,6258342.0
Disposable income,Men,"Amount of income (DKK 1,000)",Nørrebro,2018,6456798.0
Disposable income,Men,"Amount of income (DKK 1,000)",Nørrebro,2019,6656540.0
Disposable income,Men,"Amount of income (DKK 1,000)",Nørrebro,2020,6928135.0
Disposable income,Men,"Amount of income (DKK 1,000)",Nørrebro,2021,7301409.0
